"index";"time";"minutes";"dateTime";"SPD33.CH1_Voltage";"SPD33.CH1_Current";"SPD33.CH1_Power";"SPD33.CH2_Voltage";"SPD33.CH2_Current";"SPD33.CH2_Power"
0;0,149;0,0024833333;1727973347,259;5;0,32;1,6;4,99;0,38;1,9
1;0,254;0,0042333333;1727973347,363;5;0,32;1,6;4,99;0,38;1,9
2;0,354;0,0059;1727973347,464;5;0,32;1,6;4,99;0,38;1,9
3;0,453;0,00755;1727973347,564;5;0,32;1,6;4,99;0,38;1,9
4;0,554;0,0092333333;1727973347,665;5;0,32;1,6;4,99;0,38;1,9
5;0,65;0,0108333333;1727973347,772;5;0,32;1,6;4,99;0,38;1,9
6;0,754;0,0125666667;1727973347,864;5;0,32;1,6;4,99;0,38;1,9
7;0,85;0,0141666667;1727973347,962;5;0,32;1,6;4,99;0,38;1,9
8;0,954;0,0159;1727973348,063;5;0,32;1,6;4,99;0,38;1,9
9;1,054;0,0175666667;1727973348,164;5;0,33;1,65;4,99;0,38;1,9
10;1,151;0,0191833333;1727973348,261;5;0,33;1,65;4,99;0,38;1,9
11;1,254;0,0209;1727973348,363;5;0,33;1,65;4,99;0,38;1,9
12;1,354;0,0225666667;1727973348,475;5;0,33;1,65;4,99;0,38;1,9
13;1,452;0,0242;1727973348,563;5;0,33;1,65;4,99;0,38;1,9
14;1,55;0,0258333333;1727973348,661;5;0,33;1,65;4,99;0,38;1,9
15;1,65;0,0275;1727973348,761;5;0,33;1,65;4,99;0,38;1,9
16;1,749;0,02915;1727973348,858;5;0,32;1,6;4,99;0,38;1,9
17;1,85;0,0308333333;1727973348,958;5;0,32;1,6;4,99;0,38;1,9
18;1,954;0,0325666667;1727973349,064;5;0,32;1,6;4,99;0,38;1,9
19;2,054;0,0342333333;1727973349,18;5;0,32;1,6;4,99;0,38;1,9
20;2,154;0,0359;1727973349,264;5;0,32;1,6;4,99;0,38;1,9
21;2,254;0,0375666667;1727973349,363;5;0,32;1,6;4,99;0,38;1,9
22;2,354;0,0392333333;1727973349,463;5;0,32;1,6;4,99;0,38;1,9
23;2,454;0,0409;1727973349,563;5;0,32;1,6;4,99;0,38;1,9
24;2,554;0,0425666667;1727973349,664;5;0,32;1,6;4,99;0,38;1,9
25;2,654;0,0442333333;1727973349,763;5;0,32;1,6;4,99;0,38;1,9
26;2,754;0,0459;1727973349,882;5;0,32;1,6;4,99;0,38;1,9
27;2,854;0,0475666667;1727973349,966;5;0,32;1,6;4,99;0,38;1,9
28;2,951;0,0491833333;1727973350,06;5;0,32;1,6;4,99;0,38;1,9
29;3,055;0,0509166667;1727973350,168;5;0,32;1,6;4,99;0,38;1,9
30;3,153;0,05255;1727973350,266;5;0,32;1,6;4,99;0,38;1,9
31;3,253;0,0542166667;1727973350,365;5;0,32;1,6;4,99;0,38;1,9
32;3,353;0,0558833333;1727973350,466;5;0,32;1,6;4,99;0,38;1,9
33;3,454;0,0575666667;1727973350,588;5;0,32;1,6;4,99;0,38;1,9
34;3,551;0,0591833333;1727973350,663;5;0,32;1,6;4,99;0,38;1,9
35;3,651;0,06085;1727973350,761;5;0,32;1,6;4,99;0,38;1,9
36;3,754;0,0625666667;1727973350,864;5;0,32;1,6;4,99;0,38;1,9
37;3,854;0,0642333333;1727973350,963;5;0,32;1,6;4,99;0,38;1,9
38;3,954;0,0659;1727973351,069;5;0,32;1,6;4,99;0,38;1,9
39;4,051;0,0675166667;1727973351,162;5;0,32;1,6;4,99;0,38;1,9
40;4,154;0,0692333333;1727973351,293;5;0,32;1,6;4,99;0,38;1,9
41;4,253;0,0708833333;1727973351,366;5;0,32;1,6;4,99;0,38;1,9
42;4,356;0,0726;1727973351,469;5;0,32;1,6;4,99;0,38;1,9
43;4,452;0,0742;1727973351,564;5;0,32;1,6;4,99;0,38;1,9
44;4,554;0,0759;1727973351,675;5;0,32;1,6;4,99;0,38;1,9
45;4,654;0,0775666667;1727973351,766;5;0,32;1,6;4,99;0,38;1,9
46;4,753;0,0792166667;1727973351,862;5;0,32;1,6;4,99;0,38;1,9
47;4,853;0,0808833333;1727973351,963;5;0,32;1,6;4,99;0,38;1,9
48;4,954;0,0825666667;1727973352,064;5;0,32;1,6;4,99;0,47;2,35
49;5,053;0,0842166667;1727973352,162;5;0,32;1,6;4,99;0,47;2,35
50;5,154;0,0859;1727973352,263;5;0,32;1,6;4,99;0,47;2,35
51;5,254;0,0875666667;1727973352,375;5;0,32;1,6;4,99;0,47;2,35
52;5,351;0,0891833333;1727973352,461;5;0,32;1,6;4,99;0,47;2,35
53;5,452;0,0908666667;1727973352,562;5;0,32;1,6;4,99;0,47;2,35
54;5,55;0,0925;1727973352,662;5;0,32;1,6;4,99;0,47;2,35
55;5,653;0,0942166667;1727973352,763;5;0,32;1,6;4,99;0,46;2,3
56;5,754;0,0959;1727973352,867;5;0,32;1,6;4,99;0,46;2,3
57;5,852;0,0975333333;1727973352,961;5;0,32;1,6;4,99;0,46;2,3
58;5,954;0,0992333333;1727973353,09;5;0,32;1,6;4,99;0,46;2,3
59;6,054;0,1009;1727973353,163;5;0,32;1,6;4,99;0,46;2,3
60;6,151;0,1025166667;1727973353,26;5;0,32;1,6;4,99;0,46;2,3
61;6,253;0,1042166667;1727973353,363;5;0,32;1,6;4,99;0,46;2,3
62;6,355;0,1059166667;1727973353,465;5;0,32;1,6;4,99;0,46;2,3
63;6,452;0,1075333333;1727973353,562;5;0,32;1,6;4,99;0,46;2,3
64;6,552;0,1092;1727973353,662;5;0,32;1,6;4,99;0,46;2,3
65;6,653;0,1108833333;1727973353,786;5;0,33;1,65;4,99;0,46;2,3
66;6,749;0,1124833333;1727973353,86;5;0,33;1,65;4,99;0,46;2,3
67;6,854;0,1142333333;1727973353,966;5;0,33;1,65;4,99;0,46;2,3
68;6,954;0,1159;1727973354,065;5;0,33;1,65;4,99;0,46;2,3
69;7,051;0,1175166667;1727973354,16;5;0,33;1,65;4,99;0,46;2,3
70;7,151;0,1191833333;1727973354,262;5;0,33;1,65;4,99;0,46;2,3
71;7,253;0,1208833333;1727973354,365;5;0,33;1,65;4,99;0,46;2,3
72;7,353;0,12255;1727973354,487;5;0,33;1,65;4,99;0,46;2,3
73;7,454;0,1242333333;1727973354,564;5;0,32;1,6;4,99;0,46;2,3
74;7,553;0,1258833333;1727973354,664;5;0,32;1,6;4,99;0,46;2,3
75;7,653;0,12755;1727973354,764;5;0,32;1,6;4,99;0,46;2,3
76;7,754;0,1292333333;1727973354,87;5;0,32;1,6;4,99;0,46;2,3
77;7,854;0,1309;1727973354,966;5;0,32;1,6;4,99;0,46;2,3
78;7,952;0,1325333333;1727973355,062;5;0,32;1,6;4,99;0,46;2,3
79;8,052;0,1342;1727973355,163;5;0,32;1,6;4,99;0,46;2,3
80;8,154;0,1359;1727973355,264;5;0,33;1,65;4,99;0,46;2,3
81;8,253;0,13755;1727973355,364;5;0,33;1,65;4,99;0,46;2,3
82;8,352;0,1392;1727973355,462;5;0,33;1,65;4,99;0,46;2,3
83;8,454;0,1409;1727973355,574;5;0,33;1,65;4,99;0,46;2,3
84;8,554;0,1425666667;1727973355,665;5;0,33;1,65;4,99;0,46;2,3
85;8,654;0,1442333333;1727973355,764;5;0,33;1,65;4,99;0,46;2,3
86;8,754;0,1459;1727973355,865;5;0,33;1,65;4,99;0,46;2,3
87;8,854;0,1475666667;1727973355,964;5;0,55;2,75;4,99;0,46;2,3
88;8,953;0,1492166667;1727973356,065;5;0,55;2,75;4,99;0,46;2,3
89;9,054;0,1509;1727973356,165;5;0,55;2,75;4,99;0,46;2,3
90;9,149;0,1524833333;1727973356,28;5;0,55;2,75;4,99;0,46;2,3
91;9,252;0,1542;1727973356,362;5;0,55;2,75;4,99;0,46;2,3
92;9,354;0,1559;1727973356,468;5;0,55;2,75;4,99;0,46;2,3
93;9,45;0,1575;1727973356,563;5;0,55;2,75;4,99;0,46;2,3
94;9,553;0,1592166667;1727973356,663;5;0,49;2,45;4,99;0,46;2,3
95;9,654;0,1609;1727973356,764;5;0,49;2,45;4,99;0,46;2,3
96;9,754;0,1625666667;1727973356,865;5;0,49;2,45;4,99;0,46;2,3
97;9,849;0,16415;1727973356,982;5;0,49;2,45;4,99;0,42;2,1
98;9,954;0,1659;1727973357,065;5;0,49;2,45;4,99;0,42;2,1
99;10,055;0,1675833333;1727973357,164;5;0,49;2,45;4,99;0,42;2,1
100;10,154;0,1692333333;1727973357,264;5;0,49;2,45;4,99;0,42;2,1
101;10,254;0,1709;1727973357,364;5;0,41;2,05;4,99;0,42;2,1
102;10,354;0,1725666667;1727973357,464;5;0,41;2,05;4,99;0,42;2,1
103;10,454;0,1742333333;1727973357,565;5;0,41;2,05;4,99;0,42;2,1
104;10,554;0,1759;1727973357,685;5;0,41;2,05;4,99;0,38;1,9
105;10,651;0,1775166667;1727973357,761;5;0,41;2,05;4,99;0,38;1,9
106;10,752;0,1792;1727973357,862;5;0,41;2,05;4,99;0,38;1,9
107;10,854;0,1809;1727973357,965;5;0,41;2,05;4,99;0,38;1,9
108;10,952;0,1825333333;1727973358,061;5;0,41;2,05;4,99;0,38;1,9
109;11,054;0,1842333333;1727973358,163;5;0,41;2,05;4,99;0,38;1,9
110;11,154;0,1859;1727973358,264;5;0,41;2,05;4,99;0,38;1,9
111;11,254;0,1875666667;1727973358,383;5;0,41;2,05;4,99;0,38;1,9
112;11,354;0,1892333333;1727973358,463;5;0,41;2,05;4,99;0,38;1,9
