"index";"time";"minutes";"dateTime";"SPD33.CH1_Voltage";"SPD33.CH1_Current";"SPD33.CH1_Power";"SPD33.CH2_Voltage";"SPD33.CH2_Current";"SPD33.CH2_Power"
0;0,096;0,0016;1727967089,941;5;0,32;1,6;4,99;0,38;1,9
1;0,201;0,00335;1727967090,055;5;0,32;1,6;4,99;0,38;1,9
2;0,297;0,00495;1727967090,144;5;0,32;1,6;4,99;0,38;1,9
3;0,401;0,0066833333;1727967090,248;5;0,32;1,6;4,99;0,38;1,9
4;0,501;0,00835;1727967090,346;5;0,32;1,6;4,99;0,38;1,9
5;0,598;0,0099666667;1727967090,442;5;0,32;1,6;4,99;0,38;1,9
6;0,698;0,0116333333;1727967090,543;5;0,32;1,6;4,99;0,38;1,9
7;0,799;0,0133166667;1727967090,643;5;0,32;1,6;4,99;0,38;1,9
8;0,897;0,01495;1727967090,758;5;0,32;1,6;4,99;0,38;1,9
9;1;0,0166666667;1727967090,844;5;0,32;1,6;4,99;0,38;1,9
10;1,101;0,01835;1727967090,951;5;0,32;1,6;4,99;0,38;1,9
11;1,201;0,0200166667;1727967091,045;5;0,32;1,6;4,99;0,38;1,9
12;1,298;0,0216333333;1727967091,142;5;0,32;1,6;4,99;0,38;1,9
13;1,4;0,0233333333;1727967091,245;5;0,32;1,6;4,99;0,38;1,9
14;1,498;0,0249666667;1727967091,343;5;0,32;1,6;4,99;0,38;1,9
15;1,599;0,02665;1727967091,463;5;0,32;1,6;4,99;0,38;1,9
16;1,699;0,0283166667;1727967091,544;5;0,32;1,6;4,99;0,38;1,9
17;1,801;0,0300166667;1727967091,646;5;0,32;1,6;4,99;0,38;1,9
18;1,901;0,0316833333;1727967091,747;5;0,32;1,6;4,99;0,38;1,9
19;2;0,0333333333;1727967091,844;5;0,32;1,6;4,99;0,38;1,9
20;2,098;0,0349666667;1727967091,943;5;0,32;1,6;4,99;0,38;1,9
21;2,201;0,0366833333;1727967092,046;5;0,32;1,6;4,99;0,38;1,9
22;2,301;0,03835;1727967092,168;5;0,32;1,6;4,99;0,38;1,9
23;2,399;0,0399833333;1727967092,243;5;0,32;1,6;4,99;0,38;1,9
24;2,498;0,0416333333;1727967092,342;5;0,32;1,6;4,99;0,38;1,9
25;2,596;0,0432666667;1727967092,441;5;0,32;1,6;4,99;0,38;1,9
26;2,701;0,0450166667;1727967092,546;5;0,32;1,6;4,99;0,38;1,9
27;2,801;0,0466833333;1727967092,645;5;0,32;1,6;4,99;0,38;1,9
28;2,901;0,04835;1727967092,747;5;0,32;1,6;4,99;0,38;1,9
29;2,998;0,0499666667;1727967092,865;5;0,32;1,6;4,99;0,38;1,9
30;3,101;0,0516833333;1727967092,945;5;0,32;1,6;4,99;0,38;1,9
31;3,199;0,0533166667;1727967093,042;5;0,32;1,6;4,99;0,38;1,9
32;3,301;0,0550166667;1727967093,145;5;0,32;1,6;4,99;0,38;1,9
33;3,401;0,0566833333;1727967093,245;5;0,32;1,6;4,99;0,38;1,9
34;3,499;0,0583166667;1727967093,344;5;0,32;1,6;4,99;0,38;1,9
35;3,596;0,0599333333;1727967093,441;5;0,32;1,6;4,99;0,38;1,9
36;3,701;0,0616833333;1727967093,569;5;0,32;1,6;4,99;0,38;1,9
37;3,796;0,0632666667;1727967093,641;5;0,32;1,6;4,99;0,38;1,9
38;3,901;0,0650166667;1727967093,746;5;0,32;1,6;4,99;0,38;1,9
39;4,001;0,0666833333;1727967093,847;5;0,32;1,6;4,99;0,38;1,9
40;4,101;0,06835;1727967093,946;5;0,32;1,6;4,99;0,47;2,35
41;4,201;0,0700166667;1727967094,052;5;0,32;1,6;4,99;0,47;2,35
42;4,298;0,0716333333;1727967094,144;5;0,32;1,6;4,99;0,47;2,35
43;4,401;0,07335;1727967094,268;5;0,32;1,6;4,99;0,47;2,35
44;4,5;0,075;1727967094,345;5;0,32;1,6;4,99;0,47;2,35
45;4,598;0,0766333333;1727967094,443;5;0,32;1,6;4,99;0,47;2,35
46;4,7;0,0783333333;1727967094,549;5;0,32;1,6;4,99;0,47;2,35
47;4,8;0,08;1727967094,644;5;0,32;1,6;4,99;0,46;2,3
48;4,901;0,0816833333;1727967094,746;5;0,32;1,6;4,99;0,46;2,3
49;5,001;0,08335;1727967094,846;5;0,32;1,6;4,99;0,46;2,3
50;5,101;0,0850166667;1727967094,945;5;0,32;1,6;4,99;0,46;2,3
51;5,196;0,0866;1727967095,041;5;0,32;1,6;4,99;0,46;2,3
52;5,301;0,08835;1727967095,145;5;0,32;1,6;4,99;0,46;2,3
53;5,401;0,0900166667;1727967095,244;5;0,32;1,6;4,99;0,46;2,3
54;5,496;0,0916;1727967095,356;5;0,32;1,6;4,99;0,46;2,3
55;5,601;0,09335;1727967095,447;5;0,32;1,6;4,99;0,46;2,3
56;5,701;0,0950166667;1727967095,546;5;0,32;1,6;4,99;0,46;2,3
57;5,799;0,09665;1727967095,645;5;0,32;1,6;4,99;0,46;2,3
58;5,9;0,0983333333;1727967095,746;5;0,44;2,2;4,99;0,46;2,3
59;6,003;0,10005;1727967095,849;5;0,44;2,2;4,99;0,46;2,3
60;6,099;0,10165;1727967095,944;5;0,44;2,2;4,99;0,46;2,3
61;6,199;0,1033166667;1727967096,06;5;0,44;2,2;4,99;0,46;2,3
62;6,298;0,1049666667;1727967096,144;5;0,44;2,2;4,99;0,46;2,3
63;6,401;0,1066833333;1727967096,246;5;0,44;2,2;4,99;0,46;2,3
64;6,496;0,1082666667;1727967096,341;5;0,44;2,2;4,99;0,46;2,3
65;6,598;0,1099666667;1727967096,445;5;0,6;3;4,99;0,46;2,3
66;6,697;0,1116166667;1727967096,542;5;0,6;3;4,99;0,46;2,3
67;6,8;0,1133333333;1727967096,647;5;0,6;3;4,99;0,46;2,3
68;6,9;0,115;1727967096,764;5;0,6;3;4,99;0,46;2,3
69;6,999;0,11665;1727967096,846;5;0,6;3;4,99;0,46;2,3
70;7,101;0,11835;1727967096,948;5;0,6;3;4,99;0,46;2,3
71;7,201;0,1200166667;1727967097,045;5;0,6;3;4,99;0,46;2,3
72;7,3;0,1216666667;1727967097,147;5;0,41;2,05;4,99;0,46;2,3
73;7,401;0,12335;1727967097,246;5;0,41;2,05;4,99;0,46;2,3
74;7,497;0,12495;1727967097,342;5;0,41;2,05;4,99;0,46;2,3
75;7,601;0,1266833333;1727967097,47;5;0,41;2,05;4,99;0,46;2,3
76;7,701;0,12835;1727967097,546;5;0,41;2,05;4,99;0,46;2,3
77;7,798;0,1299666667;1727967097,642;5;0,41;2,05;4,99;0,46;2,3
78;7,901;0,1316833333;1727967097,749;5;0,41;2,05;4,99;0,46;2,3
79;8,001;0,13335;1727967097,847;5;0,41;2,05;4,99;0,46;2,3
80;8,101;0,1350166667;1727967097,946;5;0,41;2,05;4,99;0,46;2,3
81;8,201;0,1366833333;1727967098,046;5;0,41;2,05;4,99;0,46;2,3
82;8,299;0,1383166667;1727967098,162;5;0,41;2,05;4,99;0,46;2,3
83;8,4;0,14;1727967098,244;5;0,41;2,05;4,99;0,46;2,3
84;8,5;0,1416666667;1727967098,345;5;0,41;2,05;4,99;0,46;2,3
85;8,6;0,1433333333;1727967098,445;5;0,41;2,05;4,99;0,46;2,3
86;8,697;0,14495;1727967098,553;5;0,41;2,05;4,99;0,46;2,3
87;8,798;0,1466333333;1727967098,644;5;0,41;2,05;4,99;0,46;2,3
88;8,901;0,14835;1727967098,746;5;0,41;2,05;4,99;0,46;2,3
89;9;0,15;1727967098,846;5;0,41;2,05;4,99;0,46;2,3
90;9,101;0,1516833333;1727967098,946;5;0,41;2,05;4,99;0,43;2,15
91;9,197;0,1532833333;1727967099,043;5;0,41;2,05;4,99;0,43;2,15
92;9,301;0,1550166667;1727967099,146;5;0,41;2,05;4,99;0,43;2,15
93;9,399;0,15665;1727967099,259;5;0,41;2,05;4,99;0,43;2,15
94;9,501;0,15835;1727967099,347;5;0,41;2,05;4,99;0,43;2,15
95;9,599;0,1599833333;1727967099,446;5;0,41;2,05;4,99;0,43;2,15
96;9,701;0,1616833333;1727967099,546;5;0,41;2,05;4,99;0,43;2,15
97;9,797;0,1632833333;1727967099,642;5;0,41;2,05;4,99;0,38;1,9
98;9,901;0,1650166667;1727967099,747;5;0,41;2,05;4,99;0,38;1,9
99;10,001;0,1666833333;1727967099,847;5;0,41;2,05;4,99;0,38;1,9
100;10,1;0,1683333333;1727967099,961;5;0,41;2,05;4,99;0,38;1,9
101;10,201;0,1700166667;1727967100,047;5;0,41;2,05;4,99;0,38;1,9
102;10,297;0,1716166667;1727967100,143;5;0,41;2,05;4,99;0,38;1,9
103;10,401;0,17335;1727967100,247;5;0,41;2,05;4,99;0,38;1,9
