"index";"time";"minutes";"dateTime";"SPD33.CH1_Voltage";"SPD33.CH1_Current";"SPD33.CH1_Power";"SPD33.CH2_Voltage";"SPD33.CH2_Current";"SPD33.CH2_Power"
0;0,136;0,0022666667;1727970932,459;5;0,37;1,85;4,99;0,38;1,9
1;0,241;0,0040166667;1727970932,565;5;0,33;1,65;4,99;0,38;1,9
2;0,341;0,0056833333;1727970932,666;5;0,33;1,65;4,99;0,38;1,9
3;0,441;0,00735;1727970932,768;5;0,33;1,65;4,99;0,38;1,9
4;0,54;0,009;1727970932,883;5;0,33;1,65;4,99;0,38;1,9
5;0,641;0,0106833333;1727970932,965;5;0,33;1,65;4,99;0,38;1,9
6;0,742;0,0123666667;1727970933,064;5;0,33;1,65;4,99;0,38;1,9
7;0,841;0,0140166667;1727970933,165;5;0,33;1,65;4,99;0,38;1,9
8;0,936;0,0156;1727970933,272;5;0,33;1,65;4,99;0,38;1,9
9;1,041;0,01735;1727970933,364;5;0,33;1,65;4,99;0,38;1,9
10;1,141;0,0190166667;1727970933,464;5;0,33;1,65;4,99;0,38;1,9
11;1,241;0,0206833333;1727970933,564;5;0,33;1,65;4,99;0,38;1,9
12;1,337;0,0222833333;1727970933,66;5;0,33;1,65;4,99;0,38;1,9
13;1,441;0,0240166667;1727970933,763;5;0,33;1,65;4,99;0,38;1,9
14;1,541;0,0256833333;1727970933,864;5;0,33;1,65;4,99;0,38;1,9
15;1,641;0,02735;1727970933,978;5;0,33;1,65;4,99;0,38;1,9
16;1,741;0,0290166667;1727970934,065;5;0,33;1,65;4,99;0,38;1,9
17;1,841;0,0306833333;1727970934,166;5;0,33;1,65;4,99;0,38;1,9
18;1,941;0,03235;1727970934,268;5;0,33;1,65;4,99;0,38;1,9
19;2,041;0,0340166667;1727970934,365;5;0,33;1,65;4,99;0,38;1,9
20;2,141;0,0356833333;1727970934,466;5;0,33;1,65;4,99;0,38;1,9
21;2,241;0,03735;1727970934,565;5;0,33;1,65;4,99;0,38;1,9
22;2,341;0,0390166667;1727970934,68;5;0,33;1,65;4,99;0,38;1,9
23;2,441;0,0406833333;1727970934,766;5;0,33;1,65;4,99;0,38;1,9
24;2,541;0,04235;1727970934,865;5;0,33;1,65;4,99;0,38;1,9
25;2,641;0,0440166667;1727970934,964;5;0,33;1,65;4,99;0,38;1,9
26;2,741;0,0456833333;1727970935,063;5;0,33;1,65;4,99;0,38;1,9
27;2,841;0,04735;1727970935,164;5;0,33;1,65;4,99;0,38;1,9
28;2,941;0,0490166667;1727970935,264;5;0,33;1,65;4,99;0,38;1,9
29;3,044;0,0507333333;1727970935,387;5;0,33;1,65;4,99;0,38;1,9
30;3,141;0,05235;1727970935,464;5;0,33;1,65;4,99;0,38;1,9
31;3,241;0,0540166667;1727970935,567;5;0,33;1,65;4,99;0,38;1,9
32;3,341;0,0556833333;1727970935,667;5;0,33;1,65;4,99;0,38;1,9
33;3,441;0,05735;1727970935,768;5;0,33;1,65;4,99;0,44;2,2
34;3,54;0,059;1727970935,866;5;0,33;1,65;4,99;0,44;2,2
35;3,641;0,0606833333;1727970935,966;5;0,33;1,65;4,99;0,44;2,2
36;3,741;0,06235;1727970936,087;5;0,33;1,65;4,99;0,44;2,2
37;3,842;0,0640333333;1727970936,167;5;0,33;1,65;4,99;0,44;2,2
38;3,941;0,0656833333;1727970936,264;5;0,33;1,65;4,99;0,44;2,2
39;4,041;0,06735;1727970936,365;5;0,33;1,65;4,99;0,44;2,2
40;4,136;0,0689333333;1727970936,46;5;0,33;1,65;4,99;0,46;2,3
41;4,241;0,0706833333;1727970936,567;5;0,33;1,65;4,99;0,46;2,3
42;4,34;0,0723333333;1727970936,663;5;0,33;1,65;4,99;0,46;2,3
43;4,441;0,0740166667;1727970936,786;5;0,32;1,6;4,99;0,46;2,3
44;4,541;0,0756833333;1727970936,865;5;0,32;1,6;4,99;0,46;2,3
45;4,641;0,07735;1727970936,967;5;0,32;1,6;4,99;0,46;2,3
46;4,741;0,0790166667;1727970937,065;5;0,32;1,6;4,99;0,46;2,3
47;4,841;0,0806833333;1727970937,165;5;0,32;1,6;4,99;0,46;2,3
48;4,938;0,0823;1727970937,263;5;0,32;1,6;4,99;0,46;2,3
49;5,039;0,0839833333;1727970937,364;5;0,32;1,6;4,99;0,46;2,3
50;5,14;0,0856666667;1727970937,488;5;0,32;1,6;4,99;0,46;2,3
51;5,237;0,0872833333;1727970937,563;5;0,32;1,6;4,99;0,46;2,3
52;5,337;0,08895;1727970937,661;5;0,32;1,6;4,99;0,46;2,3
53;5,439;0,09065;1727970937,764;5;0,32;1,6;4,99;0,46;2,3
54;5,536;0,0922666667;1727970937,872;5;0,32;1,6;4,99;0,46;2,3
55;5,641;0,0940166667;1727970937,97;5;0,32;1,6;4,99;0,46;2,3
56;5,741;0,0956833333;1727970938,067;5;0,32;1,6;4,99;0,46;2,3
57;5,841;0,09735;1727970938,166;5;0,32;1,6;4,99;0,46;2,3
58;5,939;0,0989833333;1727970938,263;5;0,32;1,6;4,99;0,46;2,3
59;6,041;0,1006833333;1727970938,365;5;0,32;1,6;4,99;0,46;2,3
60;6,141;0,10235;1727970938,465;5;0,32;1,6;4,99;0,46;2,3
61;6,241;0,1040166667;1727970938,574;5;0,32;1,6;4,99;0,46;2,3
62;6,336;0,1056;1727970938,659;5;0,32;1,6;4,99;0,46;2,3
63;6,441;0,10735;1727970938,767;5;0,32;1,6;4,99;0,46;2,3
64;6,541;0,1090166667;1727970938,866;5;0,32;1,6;4,99;0,46;2,3
65;6,641;0,1106833333;1727970938,967;5;0,32;1,6;4,99;0,46;2,3
66;6,74;0,1123333333;1727970939,064;5;0,32;1,6;4,99;0,46;2,3
67;6,839;0,1139833333;1727970939,163;5;0,32;1,6;4,99;0,46;2,3
68;6,94;0,1156666667;1727970939,282;5;0,32;1,6;4,99;0,46;2,3
69;7,039;0,1173166667;1727970939,363;5;0,32;1,6;4,99;0,46;2,3
70;7,139;0,1189833333;1727970939,465;5;0,32;1,6;4,99;0,46;2,3
71;7,237;0,1206166667;1727970939,561;5;0,32;1,6;4,99;0,46;2,3
72;7,341;0,12235;1727970939,666;5;0,47;2,35;4,99;0,46;2,3
73;7,44;0,124;1727970939,764;5;0,47;2,35;4,99;0,46;2,3
74;7,54;0,1256666667;1727970939,864;5;0,47;2,35;4,99;0,46;2,3
75;7,639;0,1273166667;1727970939,982;5;0,47;2,35;4,99;0,46;2,3
76;7,739;0,1289833333;1727970940,064;5;0,47;2,35;4,99;0,46;2,3
77;7,838;0,1306333333;1727970940,162;5;0,47;2,35;4,99;0,46;2,3
78;7,941;0,13235;1727970940,267;5;0,47;2,35;4,99;0,46;2,3
79;8,038;0,1339666667;1727970940,364;5;0,6;3;4,99;0,46;2,3
80;8,14;0,1356666667;1727970940,465;5;0,6;3;4,99;0,46;2,3
81;8,239;0,1373166667;1727970940,563;5;0,6;3;4,99;0,46;2,3
82;8,338;0,1389666667;1727970940,678;5;0,6;3;4,99;0,46;2,3
83;8,44;0,1406666667;1727970940,764;5;0,6;3;4,99;0,46;2,3
84;8,539;0,1423166667;1727970940,864;5;0,6;3;4,99;0,46;2,3
85;8,641;0,1440166667;1727970940,966;5;0,6;3;4,99;0,46;2,3
86;8,741;0,1456833333;1727970941,065;5;0,41;2,05;4,99;0,46;2,3
87;8,837;0,1472833333;1727970941,161;5;0,41;2,05;4,99;0,46;2,3
88;8,939;0,1489833333;1727970941,265;5;0,41;2,05;4,99;0,46;2,3
89;9,037;0,1506166667;1727970941,381;5;0,41;2,05;4,99;0,38;1,9
90;9,141;0,15235;1727970941,465;5;0,41;2,05;4,99;0,38;1,9
91;9,24;0,154;1727970941,565;5;0,41;2,05;4,99;0,38;1,9
92;9,34;0,1556666667;1727970941,666;5;0,41;2,05;4,99;0,38;1,9
93;9,441;0,15735;1727970941,772;5;0,41;2,05;4,99;0,38;1,9
94;9,541;0,1590166667;1727970941,867;5;0,41;2,05;4,99;0,38;1,9
95;9,64;0,1606666667;1727970941,964;5;0,41;2,05;4,99;0,38;1,9
96;9,741;0,16235;1727970942,067;5;0,41;2,05;4,99;0,38;1,9
97;9,84;0,164;1727970942,165;5;0,41;2,05;4,99;0,38;1,9
98;9,939;0,16565;1727970942,264;5;0,41;2,05;4,99;0,38;1,9
99;10,041;0,16735;1727970942,367;5;0,41;2,05;4,99;0,38;1,9
100;10,14;0,169;1727970942,476;5;0,41;2,05;4,99;0,38;1,9
101;10,238;0,1706333333;1727970942,562;5;0,41;2,05;4,99;0,38;1,9
102;10,341;0,17235;1727970942,666;5;0,41;2,05;4,99;0,38;1,9
103;10,441;0,1740166667;1727970942,768;5;0,41;2,05;4,99;0,38;1,9
104;10,538;0,1756333333;1727970942,86;5;0,41;2,05;4,99;0,38;1,9
105;10,641;0,17735;1727970942,965;5;0,41;2,05;4,99;0,38;1,9
106;10,741;0,1790166667;1727970943,064;5;0,41;2,05;4,99;0,38;1,9
107;10,841;0,1806833333;1727970943,18;5;0,41;2,05;4,99;0,38;1,9
108;10,937;0,1822833333;1727970943,261;5;0,41;2,05;4,99;0,38;1,9
109;11,039;0,1839833333;1727970943,363;5;0,41;2,05;4,99;0,38;1,9
110;11,141;0,1856833333;1727970943,465;5;0,41;2,05;4,99;0,38;1,9
111;11,241;0,18735;1727970943,566;5;0,41;2,05;4,99;0,38;1,9
112;11,341;0,1890166667;1727970943,665;5;0,41;2,05;4,99;0,38;1,9
113;11,439;0,19065;1727970943,765;5;0,41;2,05;4,99;0,38;1,9
114;11,54;0,1923333333;1727970943,882;5;0,41;2,05;4,99;0,38;1,9
115;11,64;0,194;1727970943,963;5;0,41;2,05;4,99;0,38;1,9
116;11,736;0,1956;1727970944,061;5;0,41;2,05;4,99;0,38;1,9
117;11,84;0,1973333333;1727970944,165;5;0,41;2,05;4,99;0,38;1,9
118;11,941;0,1990166667;1727970944,265;5;0,41;2,05;4,99;0,38;1,9
119;12,041;0,2006833333;1727970944,365;5;0,41;2,05;4,99;0,38;1,9
120;12,14;0,2023333333;1727970944,463;5;0,41;2,05;4,99;0,38;1,9
121;12,241;0,2040166667;1727970944,587;5;0,41;2,05;4,99;0,38;1,9
122;12,339;0,20565;1727970944,664;5;0,41;2,05;4,99;0,38;1,9
123;12,441;0,20735;1727970944,767;5;0,41;2,05;4,99;0,38;1,9
124;12,541;0,2090166667;1727970944,866;5;0,41;2,05;4,99;0,38;1,9
125;12,637;0,2106166667;1727970944,962;5;0,41;2,05;4,99;0,38;1,9
126;12,736;0,2122666667;1727970945,062;5;0,41;2,05;4,99;0,38;1,9
127;12,837;0,21395;1727970945,167;5;0,41;2,05;4,99;0,38;1,9
128;12,94;0,2156666667;1727970945,284;5;0,41;2,05;4,99;0,38;1,9
129;13,04;0,2173333333;1727970945,363;5;0,32;1,6;4,99;0,38;1,9
130;13,14;0,219;1727970945,463;5;0,32;1,6;4,99;0,38;1,9
131;13,241;0,2206833333;1727970945,565;5;0,32;1,6;4,99;0,38;1,9
132;13,341;0,22235;1727970945,669;5;0,32;1,6;4,99;0,38;1,9
133;13,44;0,224;1727970945,767;5;0,32;1,6;4,99;0,38;1,9
134;13,539;0,22565;1727970945,862;5;0,32;1,6;4,99;0,38;1,9
135;13,641;0,22735;1727970945,965;5;0,32;1,6;4,99;0,38;1,9
136;13,741;0,2290166667;1727970946,066;5;0,33;1,65;4,99;0,38;1,9
137;13,841;0,2306833333;1727970946,166;5;0,33;1,65;4,99;0,38;1,9
138;13,936;0,2322666667;1727970946,26;5;0,33;1,65;4,99;0,38;1,9
139;14,041;0,2340166667;1727970946,379;5;0,33;1,65;4,99;0,38;1,9
140;14,139;0,23565;1727970946,464;5;0,33;1,65;4,99;0,38;1,9
141;14,241;0,23735;1727970946,565;5;0,33;1,65;4,99;0,38;1,9
142;14,341;0,2390166667;1727970946,664;5;0,33;1,65;4,99;0,38;1,9
143;14,441;0,2406833333;1727970946,765;5;0,32;1,6;4,99;0,38;1,9
144;14,537;0,2422833333;1727970946,861;5;0,32;1,6;4,99;0,38;1,9
145;14,641;0,2440166667;1727970946,967;5;0,32;1,6;4,99;0,38;1,9
146;14,739;0,24565;1727970947,082;5;0,32;1,6;4,99;0,38;1,9
147;14,839;0,2473166667;1727970947,163;5;0,32;1,6;4,99;0,38;1,9
148;14,941;0,2490166667;1727970947,267;5;0,32;1,6;4,99;0,38;1,9
149;15,041;0,2506833333;1727970947,371;5;0,32;1,6;4,99;0,38;1,9
